Time,Lambda,Alpha,Stress_Model(MPa),Stress_NH(MPa),Phase
13,1.142,0.08,0.0242318,0.000323737,2_UnloadTrans
13.1,1.14,0.1,0.0266846,0.000319129,2_UnloadTrans
13.2,1.138,0.12,0.0289759,0.000314522,2_UnloadTrans
13.3,1.136,0.14,0.0311348,0.000309917,2_UnloadTrans
13.4,1.134,0.16,0.0331841,0.000305314,2_UnloadTrans
13.5,1.132,0.18,0.0351416,0.000300713,2_UnloadTrans
13.6,1.13,0.2,0.0370212,0.000296114,2_UnloadTrans
13.7,1.128,0.22,0.0388337,0.000291517,2_UnloadTrans
13.8,1.126,0.24,0.0405879,0.000286921,2_UnloadTrans
13.9,1.124,0.26,0.0422907,0.000282328,2_UnloadTrans
14,1.122,0.28,0.0439478,0.000277736,2_UnloadTrans
14.1,1.12,0.3,0.0455639,0.000273146,2_UnloadTrans
14.2,1.118,0.32,0.0471426,0.000268557,2_UnloadTrans
14.3,1.116,0.34,0.0486871,0.000263971,2_UnloadTrans
14.4,1.114,0.36,0.0501999,0.000259386,2_UnloadTrans
14.5,1.112,0.38,0.0516833,0.000254803,2_UnloadTrans
14.6,1.11,0.4,0.0531389,0.000250221,2_UnloadTrans
14.7,1.108,0.42,0.0545682,0.000245641,2_UnloadTrans
14.8,1.106,0.44,0.0559726,0.000241063,2_UnloadTrans
14.9,1.104,0.46,0.057353,0.000236486,2_UnloadTrans
15,1.102,0.48,0.0587103,0.000231911,2_UnloadTrans
15.1,1.1,0.5,0.0600452,0.000227337,2_UnloadTrans
15.2,1.098,0.52,0.0613583,0.000222765,2_UnloadTrans
15.3,1.096,0.54,0.06265,0.000218194,2_UnloadTrans
15.4,1.094,0.56,0.0639208,0.000213625,2_UnloadTrans
15.5,1.092,0.58,0.065171,0.000209057,2_UnloadTrans
15.6,1.09,0.6,0.0664006,0.00020449,2_UnloadTrans
15.7,1.088,0.62,0.0676099,0.000199925,2_UnloadTrans
15.8,1.086,0.64,0.068799,0.000195361,2_UnloadTrans
15.9,1.084,0.66,0.0699678,0.000190799,2_UnloadTrans
16,1.082,0.68,0.0711163,0.000186238,2_UnloadTrans
16.1,1.08,0.7,0.0722444,0.000181678,2_UnloadTrans
16.2,1.078,0.72,0.0733521,0.00017712,2_UnloadTrans
