Time,Lambda,Alpha,Stress_Model(MPa),Stress_NH(MPa),Phase
22.1,1.0315,1,0.147912,7.14176e-05,3_ActiveReload
22.2,1.033,1,0.149329,7.48208e-05,3_ActiveReload
22.3,1.0345,1,0.150736,7.82242e-05,3_ActiveReload
22.4,1.036,1,0.152135,8.1628e-05,3_ActiveReload
22.5,1.0375,1,0.153524,8.50322e-05,3_ActiveReload
22.6,1.039,1,0.154905,8.84366e-05,3_ActiveReload
22.7,1.0405,1,0.156276,9.18415e-05,3_ActiveReload
22.8,1.042,1,0.157637,9.52467e-05,3_ActiveReload
22.9,1.0435,1,0.158989,9.86523e-05,3_ActiveReload
23,1.045,1,0.160332,0.000102058,3_ActiveReload
23.1,1.0465,1,0.161666,0.000105465,3_ActiveReload
23.2,1.048,1,0.162989,0.000108872,3_ActiveReload
23.3,1.0495,1,0.164303,0.000112279,3_ActiveReload
23.4,1.051,1,0.165608,0.000115687,3_ActiveReload
23.5,1.0525,1,0.166903,0.000119095,3_ActiveReload
23.6,1.054,1,0.168188,0.000122504,3_ActiveReload
23.7,1.0555,1,0.169463,0.000125913,3_ActiveReload
23.8,1.057,1,0.170728,0.000129323,3_ActiveReload
23.9,1.0585,1,0.171984,0.000132733,3_ActiveReload
24,1.06,1,0.173229,0.000136144,3_ActiveReload
24.1,1.0615,1,0.174465,0.000139555,3_ActiveReload
24.2,1.063,1,0.17569,0.000142967,3_ActiveReload
24.3,1.0645,1,0.176906,0.00014638,3_ActiveReload
24.4,1.066,1,0.178111,0.000149793,3_ActiveReload
24.5,1.0675,1,0.179306,0.000153206,3_ActiveReload
24.6,1.069,1,0.180491,0.000156621,3_ActiveReload
24.7,1.0705,1,0.181665,0.000160036,3_ActiveReload
24.8,1.072,1,0.182829,0.000163451,3_ActiveReload
24.9,1.0735,1,0.183983,0.000166867,3_ActiveReload
25,1.075,1,0.185127,0.000170284,3_ActiveReload
25.1,1.0765,1,0.18626,0.000173701,3_ActiveReload
25.2,1.078,1,0.187382,0.00017712,3_ActiveReload
25.3,1.0795,1,0.188494,0.000180538,3_ActiveReload
25.4,1.081,1,0.189596,0.000183958,3_ActiveReload
25.5,1.0825,1,0.190687,0.000187378,3_ActiveReload
25.6,1.084,1,0.191767,0.000190799,3_ActiveReload
25.7,1.0855,1,0.192836,0.000194221,3_ActiveReload
25.8,1.087,1,0.193895,0.000197643,3_ActiveReload
25.9,1.0885,1,0.194943,0.000201066,3_ActiveReload
26,1.09,1,0.19598,0.00020449,3_ActiveReload
26.1,1.0915,1,0.197007,0.000207915,3_ActiveReload
26.2,1.093,1,0.198022,0.00021134,3_ActiveReload
26.3,1.0945,1,0.199027,0.000214767,3_ActiveReload
26.4,1.096,1,0.200021,0.000218194,3_ActiveReload
26.5,1.0975,1,0.201003,0.000221622,3_ActiveReload
26.6,1.099,1,0.201975,0.000225051,3_ActiveReload
26.7,1.1005,1,0.202936,0.00022848,3_ActiveReload
26.8,1.102,1,0.203886,0.000231911,3_ActiveReload
26.9,1.1035,1,0.204824,0.000235342,3_ActiveReload
27,1.105,1,0.205752,0.000238774,3_ActiveReload
27.1,1.1065,1,0.206668,0.000242207,3_ActiveReload
27.2,1.108,1,0.207573,0.000245641,3_ActiveReload
27.3,1.1095,1,0.208467,0.000249076,3_ActiveReload
27.4,1.111,1,0.20935,0.000252512,3_ActiveReload
27.5,1.1125,1,0.210221,0.000255948,3_ActiveReload
27.6,1.114,1,0.211081,0.000259386,3_ActiveReload
27.7,1.1155,1,0.21193,0.000262824,3_ActiveReload
