Phase,Stretch,Alpha,Stress,Energy
Unloading,1.0735,0.51,82106.6,8934.41
Unloading,1.072,0.52,82824.5,8946.04
Unloading,1.0705,0.53,83538.7,8954.18
Unloading,1.069,0.54,84248.6,8958.86
Unloading,1.0675,0.55,84953.7,8960.12
Unloading,1.066,0.56,85653.3,8957.96
Unloading,1.0645,0.57,86346.8,8952.42
Unloading,1.063,0.58,87033.5,8943.53
Unloading,1.0615,0.59,87712.9,8931.32
Unloading,1.06,0.6,88384.4,8915.82
Unloading,1.0585,0.61,89047.3,8897.05
Unloading,1.057,0.62,89701,8875.05
Unloading,1.0555,0.63,90345,8849.85
Unloading,1.054,0.64,90978.6,8821.49
Unloading,1.0525,0.65,91601.2,8789.99
Unloading,1.051,0.66,92212.3,8755.4
Unloading,1.0495,0.67,92811.2,8717.75
Unloading,1.048,0.68,93397.4,8677.07
Unloading,1.0465,0.69,93970.3,8633.41
Unloading,1.045,0.7,94529.3,8586.8
Unloading,1.0435,0.71,95073.8,8537.27
Unloading,1.042,0.72,95603.2,8484.88
Unloading,1.0405,0.73,96117,8429.66
Unloading,1.039,0.74,96614.6,8371.65
Unloading,1.0375,0.75,97095.5,8310.89
Unloading,1.036,0.76,97559,8247.44
Unloading,1.0345,0.77,98004.6,8181.32
Unloading,1.033,0.78,98431.8,8112.59
Unloading,1.0315,0.79,98840,8041.3
Unloading,1.03,0.8,99228.6,7967.48
Unloading,1.0285,0.81,99597.2,7891.2
Unloading,1.027,0.82,99945.1,7812.48
Unloading,1.0255,0.83,100272,7731.4
Unloading,1.024,0.84,100577,7647.98
Unloading,1.0225,0.85,100860,7562.29
Unloading,1.021,0.86,101120,7474.38
Unloading,1.0195,0.87,101357,7384.29
Unloading,1.018,0.88,101569,7292.09
Unloading,1.0165,0.89,101758,7197.83
Unloading,1.015,0.9,101922,7101.55
Unloading,1.0135,0.91,102060,7003.33
Unloading,1.012,0.92,102173,6903.2
Unloading,1.0105,0.93,102259,6801.24
Unloading,1.009,0.94,102319,6697.49
Unloading,1.0075,0.95,102351,6592.02
Unloading,1.006,0.96,102355,6484.89
Unloading,1.0045,0.97,102331,6376.16
Unloading,1.003,0.98,102278,6265.89
Unloading,1.0015,0.99,102196,6154.14
Unloading,1,1,102084,6040.97
